"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","706","Muscogee County","1064","Kendrick High School","All Students","English",1670497,26811,"603","45",19.7,20.2,18.4,12.9
"2019-20","622","Carroll County","2052","Central High School","All Students","Writing Subscore",678906,5089,"28","TFS",6.4,6.8,6.9,
"2019-20","625","Savannah-Chatham County","0108","Early College Program","All Students","Composite",1670497,26811,"261","13",20.6,20.8,19.4,18.8
"2019-20","625","Savannah-Chatham County","3056","Groves High School","All Students","Mathematics",1670497,26810,"261","TFS",20.4,20.2,18.7,
"2019-20","749","Warren County","0205","Warren County High School","All Students","Composite",1670497,26811,"TFS","TFS",20.6,20.8,,
"2019-20","706","Muscogee County","5062","Jordan Vocational High School","All Students","Reading",1670497,26810,"603","22",21.2,21.6,20.1,18.5
"2019-20","706","Muscogee County","5062","Jordan Vocational High School","All Students","Composite",1670497,26811,"603","22",20.6,20.8,19.2,17.8
"2019-20","644","DeKalb County","2054","Columbia High School","All Students","Mathematics",1670497,26810,"1337","19",20.4,20.2,19.2,16.3
"2019-20","648","Douglas County","4050","Douglas County High School","All Students","Reading",1670497,26810,"650","161",21.2,21.6,20.1,20
"2019-20","660","Fulton County","0119","Cambridge High School","All Students","Science",1670497,26810,"2071","214",20.6,20.8,23.1,25.1
"2019-20","754","White County","0105","White County High School","All Students","English",1670497,26811,"33","33",19.7,20.2,21.1,21.1
"2019-20","756","Wilcox County","0201","Wilcox County High School","All Students","Reading",1670497,26810,"13","13",21.2,21.6,15.5,15.5
"2019-20","669","Hall County","0202","Flowery Branch High","All Students","Composite",1670497,26811,"252","59",20.6,20.8,21.1,22.4
"2019-20","617","Burke County","0288","Burke County High School","All Students","Science",1670497,26810,"10","10",20.6,20.8,18,18
"2019-20","732","Tattnall County","0194","Tattnall County High School","All Students","Composite",1670497,26811,"16","16",20.6,20.8,20.3,20.3
"2019-20","751","Wayne County","0101","Wayne County High School","All Students","English",1670497,26811,"44","44",19.7,20.2,16,16
"2019-20","623","Catoosa County","4052","Ringgold High School","All Students","Writing Subscore",678906,5089,"30","10",6.4,6.8,6.8,6.5
"2019-20","689","Liberty County","0192","Liberty County High School","All Students","Writing Subscore",678906,5089,"15","TFS",6.4,6.8,5.8,
"2019-20","752","Webster County","0108","Webster County High School","All Students","Mathematics",1670497,26810,"10","10",20.4,20.2,17.1,17.1
"2019-20","648","Douglas County","0212","New Manchester High School","All Students","English",1670497,26811,"650","115",19.7,20.2,18.3,16.6
"2019-20","722","Rockdale County","0192","Salem High School","All Students","Writing Subscore",678906,5089,"59","12",6.4,6.8,6.8,6.3
"2019-20","631","Clayton County","4058","Morrow High School","All Students","Mathematics",1670497,26810,"760","65",20.4,20.2,16.9,17.7
"2019-20","761","Atlanta Public Schools","0315","Booker T. Washington High School","All Students","Science",1670497,26810,"923","30",20.6,20.8,19.1,15.3
"2019-20","611","Bibb County","0198","Westside High School","All Students","Reading",1670497,26810,"168","35",21.2,21.6,18.3,15.9
"2019-20","636","Columbia County","0197","Greenbrier High School","All Students","Reading",1670497,26810,"325","78",21.2,21.6,23.6,24.7
